순번,회사명,공장대표주소(지번),업종명,전화번호
1, 나현섬유,부산광역시 강서구 송정동 1742-1번지 1742-1번지,어망 및 기타 끈 가공품 제조업,051-832-1217
2, 빵내음주식회사,부산광역시 강서구 강동동 661-654,빵류 제조업,미등록
3,(사)골든장애인협회 사업단,"부산광역시 사하구 장림동 912-1 B동, 지하1층",기타 음향기기 제조업 외 2 종,051-311-1791
4,(사)골든장애인협회사업단,부산광역시 사상구 감전동 163-5번지 2층,배전반 및 전기 자동제어반 제조업 외 7 종,051-464-1791
5,(사)부산고등어식품전략사업단,부산광역시 서구 암남동 755-6번지 외 1필지,기타 수산동물 가공 및 저장 처리업,051-714-7140
6,(사)부산광역시16개구군장애인법인연합회,부산광역시 사상구 감전동 953-28,배전반 및 전기 자동제어반 제조업,051-552-1597
7,(사)부산광역시부산진구장애인협회 희망피복사업소,부산광역시 북구 만덕동 700 광덕물산 2층,편조의복 제조업 외 6 종,051-338-5556
8,(사)하나복지회 피복사업장,부산광역시 사하구 장림동 451-10 2층,남자용 겉옷 제조업 외 24 종,051-262-6911
9,(사)한국신체장애인복지회봉제사업부,부산광역시 사상구 모라동 728-29 (주)제이드엠 3층,남자용 겉옷 제조업 외 13 종,051-363-9392
10,(사)한국장애인공존협회,부산광역시 기장군 정관읍 예림리 603 주2,전구 및 램프 제조업 외 1 종,051-521-8815
11,(사)한국장애인공존협회 정관지점,부산광역시 기장군 정관읍 예림리 603-0,직물포대 제조업 외 2 종,051-521-8815
12,(사)한국장애인교통문화협회,부산광역시 사상구 모라동 75-8번지 모라아파트형공장 802호,표면처리 및 적층 직물 제조업,051-972-0037
13,(사)한국장애인녹색재단 녹색섬유사업단,부산광역시 북구 만덕동 447-8 3층,침구 및 관련제품 제조업 외 12 종,051-332-3002
14,(사)한국참여자치장애인총연합회 환경기계사업단,부산광역시 사상구 삼락동 357-30,액체 여과기 제조업 외 1 종,051-303-2980
15,(사복)영광직업재활원,부산광역시 해운대구 반여동 1062-1번지,기타 편조의복 액세서리 제조업,051-523-5421
16,(유)고려금속,부산광역시 강서구 강동동 2044-2번지,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,051-972-0813
17,(유)극동산업기계,부산광역시 사상구 학장동 262-10번지,그 외 기타 일반목적용 기계 제조업 외 1 종,051-325-1161
18,(유)대동,부산광역시 사하구 다대동 1502-2번지,기타 가정용 전기기기 제조업 외 6 종,051-264-8833
19,(유)류진글로벌,부산광역시 기장군 장안읍 반룡리 834-0,그 외 기타 전자부품 제조업 외 4 종,051-723-7778
20,(유)미화프라스틱,부산광역시 기장군 정관면 달산리 1077-1번지,그 외 자동차용 신품 부품 제조업 외 3 종,051-303-0554
21,(유)비씨코로텍,부산광역시 강서구 녹산동 110번지,선박 구성 부분품 제조업,051-412-8551
22,(유)신아종합,부산광역시 서구 남부민동 645-3번지,기타 무선 통신장비 제조업 외 1 종,051-241-6151
23,(유)태린세이프티인터내셔날,부산광역시 사상구 덕포동 364-2 3층,구두류 제조업 외 2 종,051-325-7775
24,(유)프라이그파이스트,부산광역시 강서구 송정동 1480-7번지,"탭, 밸브 및 유사장치 제조업 외 3 종",051-831-6985
25,(유)피피지코리아,부산광역시 남구 용당동 128-7번지,일반용 도료 및 관련제품 제조업,051-620-8221
26,(재)부산테크노파크,부산광역시 강서구 송정동 1735-1번지,기타 신발 제조업 외 1 종,051-600-1700
27,(재)부산테크노파크,부산광역시 기장군 일광면 횡계리 27번지,화장품 제조업,051-720-8926
28,(주) 대성FNT,부산광역시 강서구 죽림동 441-1 번지,기타 직물제품 제조업,미등록
29,(주) 라인자동화,부산광역시 강서구 대저2동 4274-1번지,산업용 로봇 제조업,051-316-3707
30,(주) 송림드리움,부산광역시 연제구 연산동 1024-1번지 외 1필지,커튼 및 유사제품 제조업,051-862-8170
31,(주) 아이티씨,부산광역시 강서구 생곡동 1531-8,위생용 종이제품 제조업,051-831-4620
